scientific_name,common_name,slug,occurrence_v1,occurrence_v2,in_auvic_bundle,status
Acanthiza pusilla,Brown Thornbill,acanthiza-pusilla,0.5210,0.5038,yes,covered
Manorina melanocephala,Noisy Miner,manorina-melanocephala,0.4146,0.5113,yes,covered
Eopsaltria australis,Eastern Yellow Robin,eopsaltria-australis,0.4210,0.4958,yes,covered
Sericornis frontalis,White-browed Scrubwren,sericornis-frontalis,0.4098,0.4957,yes,covered
Anas gracilis,Gray Teal,anas-gracilis,0.3091,0.4907,yes,covered
Fulica atra,Eurasian Coot,fulica-atra,0.3708,0.4782,yes,covered
Ptilotula penicillata,White-plumed Honeyeater,ptilotula-penicillata,0.3329,0.4719,yes,covered
Porphyrio melanotus,Australasian Swamphen,porphyrio-melanotus,0.2661,0.4684,yes,covered
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,acanthiza-chrysorrhoa,0.3203,0.4658,yes,covered
Trichoglossus moluccanus,Rainbow Lorikeet,trichoglossus-moluccanus,0.3543,0.4607,yes,covered
Passer domesticus,House Sparrow,passer-domesticus,0.2123,0.4555,yes,covered
Pelecanus conspicillatus,Australian Pelican,pelecanus-conspicillatus,0.2491,0.4549,yes,covered
Zosterops lateralis,Silvereye,zosterops-lateralis,0.4180,0.4513,yes,covered
Acanthorhynchus tenuirostris,Eastern Spinebill,acanthorhynchus-tenuirostris,0.3984,0.4425,yes,covered
Acanthiza lineata,Striated Thornbill,acanthiza-lineata,0.3132,0.4409,yes,covered
Pachycephala pectoralis,Golden Whistler,pachycephala-pectoralis,0.3189,0.4328,yes,covered
Neochmia temporalis,Red-browed Firetail,neochmia-temporalis,0.3423,0.4291,yes,covered
Psephotus haematonotus,Red-rumped Parrot,psephotus-haematonotus,0.3189,0.4274,yes,covered
Phalacrocorax carbo,Great Cormorant,phalacrocorax-carbo,0.1670,0.4242,yes,covered
Threskiornis molucca,Australian Ibis,threskiornis-molucca,0.2971,0.4079,yes,covered
Cygnus atratus,Black Swan,cygnus-atratus,0.1980,0.4051,yes,covered
Cracticus torquatus,Gray Butcherbird,cracticus-torquatus,0.3413,0.4012,yes,covered
Acanthiza nana,Yellow Thornbill,acanthiza-nana,0.1826,0.3985,yes,covered
Alisterus scapularis,Australian King-Parrot,alisterus-scapularis,0.3251,0.3972,yes,covered
Acridotheres tristis,Common Myna,acridotheres-tristis,0.2153,0.3965,yes,covered
Gallinula tenebrosa,Dusky Moorhen,gallinula-tenebrosa,0.2742,0.3875,yes,covered
Corcorax melanorhamphos,White-winged Chough,corcorax-melanorhamphos,0.2590,0.3819,yes,covered
Turdus merula,Eurasian Blackbird,turdus-merula,0.3014,0.3767,yes,covered
Pardalotus striatus,Striated Pardalote,pardalotus-striatus,0.3659,0.3343,yes,covered
Philemon corniculatus,Noisy Friarbird,philemon-corniculatus,0.3630,0.3591,yes,covered
Todiramphus sanctus,Sacred Kingfisher,todiramphus-sanctus,0.3630,0.3079,yes,covered
Melithreptus lunatus,White-naped Honeyeater,melithreptus-lunatus,0.2163,0.3607,yes,covered
Corvus mellori,Little Raven,corvus-mellori,0.2823,0.3602,yes,covered
Tachybaptus novaehollandiae,Australasian Grebe,tachybaptus-novaehollandiae,0.1738,0.3568,yes,covered
Acrocephalus australis,Australian Reed Warbler,acrocephalus-australis,0.3227,0.3512,yes,covered
Cacatua sanguinea,Little Corella,cacatua-sanguinea,0.2895,0.3489,yes,covered
Cacomantis flabelliformis,Fan-tailed Cuckoo,cacomantis-flabelliformis,0.1786,0.3484,yes,covered
Acanthiza reguloides,Buff-rumped Thornbill,acanthiza-reguloides,0.1371,0.3449,yes,covered
Nesoptilotis leucotis,White-eared Honeyeater,nesoptilotis-leucotis,0.1348,0.3434,yes,covered
Anas castanea,Chestnut Teal,anas-castanea,0.1405,0.3374,yes,covered
Chroicocephalus novaehollandiae,Silver Gull,chroicocephalus-novaehollandiae,0.1632,0.3050,yes,covered
Ptilonorhynchus violaceus,Satin Bowerbird,ptilonorhynchus-violaceus,0.2887,0.3021,yes,covered
Haliastur sphenurus,Whistling Kite,haliastur-sphenurus,0.0734,0.2986,yes,covered
Phaps chalcoptera,Common Bronzewing,phaps-chalcoptera,0.0888,0.2842,yes,covered
Artamus cyanopterus,Dusky Woodswallow,artamus-cyanopterus,0.1995,0.2751,yes,covered
Ardea alba,Great Egret,ardea-alba,0.0543,0.2750,yes,covered
Oriolus sagittatus,Olive-backed Oriole,oriolus-sagittatus,0.1917,0.2671,yes,covered
Psophodes olivaceus,Eastern Whipbird,psophodes-olivaceus,0.2655,0.2472,yes,covered
Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,calyptorhynchus-funereus,0.2578,0.2273,yes,covered
Melithreptus brevirostris,Brown-headed Honeyeater,melithreptus-brevirostris,0.0260,0.2514,yes,covered
Microeca fascinans,Jacky-winter,microeca-fascinans,0.0646,0.2462,yes,covered
Dicaeum hirundinaceum,Mistletoebird,dicaeum-hirundinaceum,0.0747,0.2459,yes,covered
Smicrornis brevirostris,Weebill,smicrornis-brevirostris,0.1334,0.2446,yes,covered
Anhinga novaehollandiae,Australasian Darter,anhinga-novaehollandiae,0.0580,0.2422,yes,covered
Meliphaga lewinii,Lewin's Honeyeater,meliphaga-lewinii,0.2391,0.1439,yes,covered
Haliaeetus leucogaster,White-bellied Sea-Eagle,haliaeetus-leucogaster,0.0282,0.2388,yes,covered
Elseyornis melanops,Black-fronted Dotterel,elseyornis-melanops,0.0446,0.2347,yes,covered
Phylidonyris novaehollandiae,New Holland Honeyeater,phylidonyris-novaehollandiae,0.2317,0.2057,yes,covered
Streptopelia chinensis,Spotted Dove,streptopelia-chinensis,0.0988,0.2297,yes,covered
Climacteris picumnus,Brown Treecreeper,climacteris-picumnus,0.0605,0.2139,yes,covered
Anthus novaeseelandiae,Australasian Pipit,anthus-novaeseelandiae,0.0864,0.2121,no,GAP
Petrochelidon nigricans,Tree Martin,petrochelidon-nigricans,0.0740,0.2049,yes,covered
Cracticus nigrogularis,Pied Butcherbird,cracticus-nigrogularis,0.0956,0.1999,yes,covered
Menura novaehollandiae,Superb Lyrebird,menura-novaehollandiae,0.1633,0.1901,yes,covered
Falco berigora,Brown Falcon,falco-berigora,0.0231,0.1900,yes,covered
Cincloramphus mathewsi,Rufous Songlark,cincloramphus-mathewsi,0.1221,0.1874,yes,covered
